,Model,Label,location,energyscore,it
80,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.258332009679318,13
81,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.149987480240785,13
82,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.78716721861084,13
83,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.748001125031454,13
84,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.925481953623695,14
85,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.660291285910006,14
86,MOBS_NEU-GLEAM_FLU,Scenario C,US,26.11957025030142,14
87,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.25250990867365,14
88,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.218749977357138,14
89,MOBS_NEU-GLEAM_FLU,Scenario F,US,24.824172358725253,14
90,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.62653620746852,15
91,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.1614711589716,15
92,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.411498018314862,15
93,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.905955645613584,15
94,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.355482175474027,15
95,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.73187223488697,15
96,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.62012983550789,16
97,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.421194506618665,16
98,MOBS_NEU-GLEAM_FLU,Scenario C,US,24.532973364613536,16
99,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.233593950611212,16
100,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.340075594259698,16
101,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.19655369522364,16
102,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.943163718653697,17
103,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.617651337060785,17
104,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.59982511623851,17
105,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.94640755693285,17
106,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.140356788103787,17
107,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.80778629808653,17
108,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.477409928326058,18
109,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.42972565739034,18
110,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.04790104848282,18
111,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.742843159762344,18
112,MOBS_NEU-GLEAM_FLU,Scenario E,US,25.829291701815322,18
113,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.594332378277407,18
114,MOBS_NEU-GLEAM_FLU,Scenario A,US,22.24265890619848,19
115,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.72491153677341,19
116,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.323703865036748,19
117,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.170225112896293,19
118,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.535676007799477,19
119,MOBS_NEU-GLEAM_FLU,Scenario F,US,27.039545642801773,19
120,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.549266576350668,20
121,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.38353766773695,20
122,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.38843130140281,20
123,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.22987237563278,20
124,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.26237277829596,20
125,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.13654472751542,20
126,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.64014291778964,21
127,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.62029519744126,21
128,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.391353486598224,21
129,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.463736913014692,21
130,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.4414277285807,21
131,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.31676336668763,21
132,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.769373129982583,22
133,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.349526966718088,22
134,MOBS_NEU-GLEAM_FLU,Scenario C,US,24.826723883697177,22
135,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.046553489685536,22
136,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.895134561413258,22
137,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.14082340717166,22
138,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.77036239743009,23
139,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.752211318007426,23
140,MOBS_NEU-GLEAM_FLU,Scenario C,US,24.97520104460098,23
